tie_adjusted_rank,bmu_id,technology,plant_family,lead_party,registered_capacity_mw,marginal_occurrences,bid_weight,offer_weight,tie_adjusted_weight,share_all_sps_pct,bid_share_all_sps_pct,offer_share_all_sps_pct,dominant_side,dominant_side_share
267,2__DSTAT003,BATTERY,2__DSTAT,Statkraft Markets Gmbh,20.447,34,1.6386904761904761,26.3,27.938690476190477,0.05512329428654107,0.003233151440672552,0.05189014284586852,Offer,0.9413469118179688
268,I_IBD-DMCC1,BritNed,I_IBD-DMCC,Cobblestone Energy DMCC,,31,27.833333333333332,0.0,27.833333333333332,0.05491542367084944,0.05491542367084944,0.0,Bid,1.0
269,E_NEWTB-1,BATTERY,E_NEWTB,EDF Energy Customers Limited,52.0,38,17.674242424242426,10.033333333333333,27.70757575757576,0.05466730281267414,0.03487144350138589,0.019795859311288244,Bid,0.6378848362224531
270,2__DSTAT006,BATTERY,2__DSTAT,Statkraft Markets Gmbh,14.0,42,0.22916666666666666,27.183333333333334,27.4125,0.0540851156183411,0.0004521479493857364,0.05363296766895536,Offer,0.9916400668794649
271,E_WTRLN-1,DIESEL,E_WTRLN,Conrad Energy (Trading) Ltd,20.0,32,0.0,27.083333333333332,27.083333333333332,0.05343566674558703,0.0,0.05343566674558703,Offer,1.0
272,E_RDFRD-1,DIESEL,E_RDFRD,Conrad Energy (Trading) Ltd,20.5,74,1.3333333333333333,25.675036075036076,27.008369408369408,0.053287762229440074,0.0026306789782442846,0.0506570832511958,Offer,0.9506325867669687
273,V__HHABI001,OTHER,V__HHABI_OTH,Habitat Energy Limited,0.0,32,15.59090909090909,11.416666666666666,27.007575757575758,0.053286196349095885,0.030761007597879194,0.022525188751216688,Bid,0.5772791023842917
274,2__MSTAT003,BATTERY,2__MSTAT_B,Statkraft Markets Gmbh,16.0,32,0.0,26.426923076923078,26.426923076923078,0.052140563248605235,0.0,0.052140563248605235,Offer,1.0
275,E_GOSHS-1,DIESEL,E_GOSHS,Conrad Energy (Trading) Ltd,20.0,41,0.0,26.227355977355977,26.227355977355977,0.05174681551841997,0.0,0.05174681551841997,Offer,1.0
276,2__FFSEN005,OTHER,2__FFSEN,F & S Energy Ltd,24.479,32,17.34090909090909,8.666666666666666,26.007575757575758,0.051313187115412676,0.034213773756824814,0.01709941335858785,Bid,0.6667637634721817
277,2__LSTAT003,BATTERY,2__LSTAT,Statkraft Markets Gmbh,20.0,28,3.0,22.9,25.9,0.05110093915239523,0.0059190277010496405,0.04518191145134559,Offer,0.8841698841698842
278,E_TRFPK-1,DIESEL,E_TRFPK,Conrad Energy (Trading) Ltd,14.0,44,1.9444444444444444,23.515079365079366,25.45952380952381,0.0502318755613681,0.003836406843272915,0.04639546871809518,Offer,0.9236260481935223
279,V__HDSKC001,BATTERY,V__HDSKC,Danske Commodities A/S,0.0,25,19.0,6.0,25.0,0.04932523084208034,0.037487175439981056,0.011838055402099281,Bid,0.76
280,T_ERRO-3,NPSHYD,T_ERRO,SSE Generation Ltd,25.66,96,3.636904761904762,21.299242424242426,24.93614718614719,0.049199248650752085,0.007175646677264545,0.04202360197348754,Offer,0.8541512955166877
281,T_THURB-1,BATTERY,T_THURB,THURROCK STORAGE LIMITED,100.0,31,16.708333333333332,8.0,24.708333333333332,0.0487497698155894,0.032965695946123696,0.01578407386946571,Bid,0.6762225969645869
282,2__GFLEX001,DSR,2__GFLEX_LR,Flexitricity Limited,49.0,79,2.25,22.32916703179861,24.57916703179861,0.048494923509980685,0.004439270775787231,0.04405565273419346,Offer,0.9084590622176445
283,E_NEWPB-1,BATTERY,E_NEWPB,Field Newport Ltd,20.933,25,21.5,3.0,24.5,0.048338726225238736,0.042419698524189094,0.0059190277010496405,Bid,0.8775510204081632
